  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2210                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.9009   0.00000  -0.00109  -0.0458   0.0000   0.0000
  -9.000  -0.7827   0.00000  -0.00105  -0.0466   0.0000   0.0000
  -8.000  -0.6643   0.00000  -0.00102  -0.0474   0.0000   0.0000
  -7.000  -0.5456   0.00000  -0.00099  -0.0483   0.0000   0.0000
  -6.000  -0.4269   0.00000  -0.00096  -0.0492   0.0000   0.0000
  -5.000  -0.3079   0.00000  -0.00094  -0.0502   0.0000   0.0000
  -4.000  -0.1889   0.00000  -0.00092  -0.0512   0.0000   0.0000
  -3.000  -0.0699   0.00000  -0.00091  -0.0522   0.0000   0.0000
  -2.000   0.0492   0.00000  -0.00089  -0.0533   0.0000   0.0000
  -1.000   0.1683   0.00000  -0.00089  -0.0544   0.0000   0.0000
   0.000   0.2873   0.00000  -0.00088  -0.0556   0.0000   0.0000
   1.000   0.4062   0.00000  -0.00088  -0.0567   0.0000   0.0000
   2.000   0.5250   0.00000  -0.00088  -0.0579   0.0000   0.0000
   3.000   0.6437   0.00000  -0.00089  -0.0592   0.0000   0.0000
   4.000   0.7621   0.00000  -0.00090  -0.0604   0.0000   0.0000
   5.000   0.8803   0.00000  -0.00092  -0.0617   0.0000   0.0000
   6.000   0.9983   0.00000  -0.00094  -0.0630   0.0000   0.0000
   7.000   1.1159   0.00000  -0.00096  -0.0644   0.0000   0.0000
   8.000   1.2332   0.00000  -0.00099  -0.0657   0.0000   0.0000
   9.000   1.3502   0.00000  -0.00102  -0.0671   0.0000   0.0000
  10.000   1.4667   0.00000  -0.00105  -0.0685   0.0000   0.0000
